duracion11,duracion56,dpi_mean,dpi_std,max_cola_global_mean,max_cola_global_max,cola_promedio_mean,max_cola_norte_mean,max_cola_sureste1_mean,max_cola_sureste2_mean,throughput_mean,pvc_mean,n,score_dpi,score_cola,score_cola_prom,score_throughput,score_pvc,score_final
45.0,45.0,89.2480172,3.9048328451391083,822.6,1100.0,296.1333333333333,822.6,53.4,12.4,2323.7,0.9848562,5,0.0,0.11145423919146552,0.002411714039621026,0.10234042553191514,0.0,0.0496047833761476
60.0,45.0,96.7357944,3.614489047310189,663.8,832.0,376.4666666666667,473.4,642.2,13.8,2405.9,0.9820078000000001,5,0.11568597881543766,0.0,0.10620155038759696,0.014893617021276562,0.1936106579662773,0.07148645370152623
45.0,30.0,97.1355676,3.541756463574078,719.8,768.0,391.2666666666667,465.8,701.0,7.0,2419.9,0.9835879999999999,5,0.12186246520263673,0.03930376193149916,0.12532299741602074,0.0,0.08620174007613224,0.07773367985683205
30.0,30.0,93.9151368,1.7399292026074513,840.6,1091.0,294.26666666666665,840.6,34.2,8.0,2343.2,0.9832094,5,0.07210688629660525,0.12408759124087597,0.0,0.0815957446808514,0.11193583469276469,0.08441588076064978
60.0,60.0,93.1185234,2.5392476355692053,1043.0,1131.0,384.0,1043.0,90.6,18.4,2315.9,0.9816962,5,0.05979922830212144,0.26614261650758003,0.11593453919035317,0.11063829787234047,0.21479064709080697,0.16102275964315718
90.0,75.0,102.44740420000001,4.451484003092924,1045.4,1426.0,446.8666666666666,1045.4,274.8,20.4,2364.7,0.9828787999999999,5,0.20393021374337422,0.2678270634475015,0.19715762273901805,0.05872340425531941,0.13440728656878909,0.20380524882290132
75.0,60.0,101.17694279999999,4.335311310422896,1014.4,1162.0,493.4,1014.4,449.6,16.2,2374.7,0.9800264000000001,5,0.1843016154717492,0.2460696238068501,0.25727820844099913,0.048085106382979026,0.32828983143011836,0.2176440780213819
90.0,60.0,107.5390466,1.0202729242101378,997.4,1102.0,579.1333333333333,726.0,997.4,14.0,2389.9,0.9832538,5,0.28259596715577334,0.23413812464907358,0.3680447889750215,0.03191489361702127,0.10891789015769504,0.23601713049763262
90.0,90.0,104.49061320000001,5.995759969786124,1197.4,1533.0,435.3333333333333,1197.4,79.8,28.8,2303.2,0.9833907999999999,5,0.23549774396976933,0.37450870297585637,0.18225667527993109,0.12414893617021305,0.09960576400217958,0.25144134054170947
75.0,75.0,98.9204032,2.4693456251217114,1303.4,1570.0,458.2666666666667,1303.4,49.0,22.4,2323.0,0.9834033999999999,5,0.14943813257300645,0.4489051094890512,0.21188630490956079,0.10308510638297885,0.09874932028276484,0.2539146164960783
