id,dpi,max_cola_norte,max_cola_sureste1,max_cola_sureste2,throughput,pvc
1,93.713213,422.000000,683.000000,12.000000,2426.000000,0.981590
2,100.280712,648.000000,540.000000,11.000000,2436.000000,0.981269
3,92.933094,387.000000,579.000000,11.000000,2375.500000,0.984051
4,96.061375,456.000000,577.000000,11.000000,2399.000000,0.981788
5,100.690578,454.000000,832.000000,24.000000,2393.000000,0.981341
6,101.314953,684.000000,471.000000,11.000000,2411.500000,0.980484
7,96.129656,585.000000,575.000000,12.000000,2442.000000,0.983290
8,94.933665,839.000000,480.000000,11.000000,2388.000000,0.986369
9,92.995396,663.000000,495.000000,12.000000,2395.500000,0.984587
10,96.967198,811.000000,773.000000,12.000000,2390.500000,0.983745
11,96.914469,361.000000,516.000000,25.000000,2422.500000,0.985958
12,94.973549,543.000000,575.000000,11.000000,2429.000000,0.979831
13,102.749528,743.000000,643.000000,12.000000,2410.000000,0.983272
14,102.006612,527.000000,817.000000,12.000000,2421.000000,0.981354
15,100.399050,749.000000,533.000000,12.000000,2436.000000,0.981071
16,91.997196,283.000000,686.000000,11.000000,2384.000000,0.983296
17,101.243562,736.000000,584.000000,11.000000,2457.500000,0.983000
18,91.559164,514.000000,512.000000,11.000000,2406.500000,0.984455
19,93.573433,383.000000,651.000000,22.000000,2416.500000,0.984518
20,103.273799,356.000000,863.000000,11.000000,2420.500000,0.983343
21,99.320591,1067.000000,482.000000,12.000000,2403.500000,0.982625
22,94.872091,271.000000,660.000000,22.000000,2399.500000,0.981792
23,89.408892,283.000000,610.000000,11.000000,2380.500000,0.980639
24,93.541403,678.000000,529.000000,10.000000,2446.000000,0.981738
25,102.317000,517.000000,871.000000,12.000000,2405.500000,0.981636
26,84.370970,288.000000,394.000000,12.000000,2430.000000,0.982612
27,100.985279,595.000000,723.000000,11.000000,2426.500000,0.982190
28,98.411121,435.000000,667.000000,11.000000,2384.000000,0.980666
29,93.047514,451.000000,389.000000,10.000000,2421.500000,0.987360
30,99.539225,538.000000,858.000000,12.000000,2392.500000,0.980935
