id,dpi,max_cola_norte,max_cola_sureste1,max_cola_sureste2,throughput,sin_camino,pvc
1,115.144489,2253.000000,1964.000000,4.000000,2169.500000,0,0.982341
2,116.069139,2120.000000,2039.000000,4.000000,2183.000000,0,0.981344
3,117.940838,2284.000000,1817.000000,6.000000,2179.000000,0,0.981090
4,116.360763,1912.000000,1956.000000,6.000000,2169.500000,0,0.981230
5,115.952044,2149.000000,2037.000000,5.000000,2193.000000,0,0.983188
6,117.381780,2158.000000,2027.000000,6.000000,2206.500000,0,0.982195
7,114.000517,2112.000000,1927.000000,5.000000,2184.500000,0,0.982681
8,119.205337,2274.000000,2016.000000,7.000000,2140.000000,0,0.982778
9,116.899246,1999.000000,1991.000000,5.000000,2206.000000,0,0.983504
10,116.321961,2055.000000,1957.000000,5.000000,2179.500000,0,0.979551
11,114.115699,2126.000000,1989.000000,4.000000,2195.500000,0,0.980353
12,113.649975,1936.000000,2007.000000,5.000000,2220.000000,0,0.981866
13,117.599152,2268.000000,1968.000000,5.000000,2161.500000,0,0.981162
14,115.128969,2101.000000,1945.000000,5.000000,2219.500000,0,0.981211
15,118.532110,2203.000000,1787.000000,4.000000,2139.500000,0,0.979625
16,116.532827,2306.000000,1956.000000,4.000000,2180.500000,0,0.982871
17,118.818909,2128.000000,2000.000000,5.000000,2133.000000,0,0.980690
18,115.270333,2198.000000,1950.000000,5.000000,2166.500000,0,0.982094
19,117.598282,2053.000000,2012.000000,6.000000,2135.500000,0,0.980262
20,113.790398,2008.000000,1888.000000,5.000000,2216.000000,0,0.982487
21,117.215547,1898.000000,2137.000000,5.000000,2202.000000,0,0.982159
22,118.001755,2403.000000,2024.000000,9.000000,2137.000000,0,0.981401
23,116.006871,2121.000000,2015.000000,4.000000,2168.500000,0,0.981222
24,116.172365,2409.000000,1913.000000,6.000000,2180.000000,0,0.979555
25,119.504212,2330.000000,2018.000000,6.000000,2157.000000,0,0.981570
26,117.041576,1989.000000,1882.000000,5.000000,2140.500000,0,0.981656
27,114.805117,2400.000000,1820.000000,5.000000,2173.000000,0,0.981038
28,115.211493,2105.000000,2009.000000,4.000000,2209.500000,0,0.980040
29,116.138810,2244.000000,1949.000000,5.000000,2162.000000,0,0.983174
30,114.862709,1943.000000,1840.000000,4.000000,2187.000000,0,0.982259
