id,dpi,max_cola_norte,max_cola_sureste1,max_cola_sureste2,throughput,sin_camino,pvc
1,30.228995,6.000000,4.000000,2.000000,597.500000,0,0.994176
2,29.600653,5.000000,3.000000,2.000000,580.000000,0,0.994854
3,31.169167,4.000000,4.000000,2.000000,608.000000,0,0.995090
4,30.254205,4.000000,3.000000,2.000000,623.000000,0,0.996800
5,30.615074,5.000000,4.000000,2.000000,592.500000,0,0.993294
6,30.539144,3.000000,4.000000,2.000000,604.500000,0,0.993426
7,30.314654,5.000000,3.000000,3.000000,538.000000,0,0.992620
8,30.493788,6.000000,4.000000,2.000000,598.500000,0,0.994186
9,29.640008,3.000000,3.000000,3.000000,600.000000,0,0.991736
10,30.604404,4.000000,4.000000,2.000000,578.500000,0,0.993986
11,30.333882,3.000000,3.000000,2.000000,546.500000,0,0.997263
12,29.375194,3.000000,4.000000,3.000000,576.500000,0,0.993966
13,30.289037,4.000000,4.000000,2.000000,580.000000,0,0.993151
14,29.339857,3.000000,5.000000,2.000000,611.000000,0,0.991883
15,30.496806,8.000000,4.000000,3.000000,578.000000,0,0.992275
16,29.653615,4.000000,4.000000,2.000000,589.000000,0,0.992418
17,30.829402,4.000000,7.000000,3.000000,569.000000,0,0.990426
18,30.427813,4.000000,4.000000,3.000000,590.000000,0,0.994103
19,30.714833,5.000000,4.000000,2.000000,582.000000,0,0.995723
20,30.594491,11.000000,4.000000,2.000000,597.500000,0,0.993350
21,30.061539,8.000000,4.000000,2.000000,548.000000,0,0.998179
22,30.727159,5.000000,4.000000,2.000000,562.000000,0,0.996454
23,29.957622,3.000000,5.000000,3.000000,615.000000,0,0.993538
24,30.205176,6.000000,5.000000,2.000000,579.500000,0,0.993997
25,30.281207,4.000000,4.000000,2.000000,581.000000,0,0.995716
26,30.332904,3.000000,4.000000,3.000000,570.500000,0,0.993037
27,30.238815,5.000000,3.000000,1.000000,577.500000,0,0.996549
28,30.444259,5.000000,4.000000,3.000000,598.500000,0,0.995840
29,29.943835,4.000000,3.000000,2.000000,569.000000,0,0.994755
30,30.031935,4.000000,3.000000,2.000000,600.500000,0,0.994205
