id,duracion11,duracion56,dpi,max_cola_norte,max_cola_sureste1,max_cola_sureste2,throughput,pvc
1,30.000000,60.000000,129.009963,1746.000000,6.000000,581.000000,1749.000000,0.973018
2,30.000000,75.000000,157.445937,2220.000000,6.000000,1162.000000,1638.500000,0.979086
3,30.000000,45.000000,113.666056,1165.000000,14.000000,13.000000,2013.000000,0.978610
4,45.000000,45.000000,92.211877,850.000000,30.000000,13.000000,2291.000000,0.981577
5,45.000000,60.000000,110.277444,1510.000000,40.000000,19.000000,2124.500000,0.978581
6,60.000000,30.000000,103.943734,191.000000,1596.000000,5.000000,2340.500000,0.985059
7,75.000000,45.000000,104.241834,437.000000,1334.000000,27.000000,2372.500000,0.986076
8,60.000000,45.000000,93.713213,422.000000,683.000000,12.000000,2426.000000,0.981590
9,75.000000,30.000000,103.634652,296.000000,2175.000000,5.000000,2404.500000,0.984241
10,60.000000,60.000000,92.940329,945.000000,71.000000,18.000000,2352.500000,0.982665
11,30.000000,30.000000,94.608561,1091.000000,57.000000,8.000000,2329.000000,0.982079
12,45.000000,30.000000,96.841397,446.000000,697.000000,7.000000,2377.000000,0.985081
13,90.000000,30.000000,105.176692,191.000000,1999.000000,5.000000,2449.500000,0.984328
14,90.000000,45.000000,98.679414,128.000000,1494.000000,8.000000,2367.500000,0.980737
15,75.000000,60.000000,102.410947,1162.000000,325.000000,15.000000,2348.000000,0.980376
16,90.000000,60.000000,107.802422,578.000000,1072.000000,15.000000,2411.000000,0.982277
17,30.000000,75.000000,140.885852,2088.000000,15.000000,1203.000000,1581.500000,0.970841
18,30.000000,60.000000,125.994656,1885.000000,15.000000,573.000000,1773.000000,0.976860
19,30.000000,30.000000,92.631851,798.000000,30.000000,8.000000,2349.500000,0.984290
20,30.000000,45.000000,114.216020,1335.000000,18.000000,13.000000,2008.500000,0.978324
21,45.000000,60.000000,112.648679,1514.000000,18.000000,18.000000,2115.000000,0.980529
22,45.000000,45.000000,85.365087,707.000000,64.000000,12.000000,2342.500000,0.985693
23,60.000000,60.000000,91.315048,934.000000,120.000000,19.000000,2303.500000,0.979587
