id,duracion11,duracion56,dpi,max_cola_norte,max_cola_sureste1,max_cola_sureste2,throughput,sin_camino,pvc
1,30.000000,60.000000,152.760007,4121.000000,12.000000,606.000000,1671.000000,0,0.982363
2,30.000000,75.000000,170.155843,4342.000000,10.000000,1217.000000,1510.000000,0,0.968880
3,30.000000,45.000000,137.976223,3933.000000,43.000000,14.000000,1896.000000,0,0.980605
4,45.000000,60.000000,128.285597,3775.000000,79.000000,19.000000,1999.500000,0,0.975366
5,45.000000,30.000000,117.460264,2425.000000,1440.000000,6.000000,2126.500000,0,0.980632
6,60.000000,45.000000,117.399313,2799.000000,1168.000000,13.000000,2207.500000,0,0.983954
7,60.000000,30.000000,115.144489,2253.000000,1964.000000,4.000000,2169.500000,0,0.982341
8,90.000000,30.000000,112.751419,1584.000000,2496.000000,4.000000,2158.000000,0,0.981802
9,75.000000,45.000000,120.798365,2577.000000,1818.000000,12.000000,2180.500000,0,0.978022
10,90.000000,45.000000,119.935154,2376.000000,2032.000000,9.000000,2148.500000,0,0.980155
11,45.000000,45.000000,121.850062,3337.000000,201.000000,13.000000,2155.000000,0,0.977546
12,30.000000,30.000000,127.617088,3440.000000,481.000000,8.000000,2138.000000,0,0.982537
13,75.000000,30.000000,114.330374,1728.000000,2417.000000,4.000000,2166.000000,0,0.981200
14,90.000000,60.000000,121.147204,2656.000000,1480.000000,13.000000,2206.000000,0,0.982628
15,60.000000,60.000000,126.402367,3624.000000,531.000000,18.000000,2156.500000,0,0.978226
16,75.000000,60.000000,122.060178,2925.000000,1244.000000,17.000000,2206.500000,0,0.974387
17,30.000000,75.000000,167.606337,4099.000000,10.000000,1225.000000,1530.500000,0,0.972672
18,30.000000,60.000000,155.818436,4332.000000,12.000000,596.000000,1693.500000,0,0.969931
19,60.000000,30.000000,116.069139,2120.000000,2039.000000,4.000000,2183.000000,0,0.981344
20,30.000000,45.000000,137.727554,3830.000000,18.000000,13.000000,1907.000000,0,0.978450
21,45.000000,60.000000,131.588055,3668.000000,23.000000,20.000000,1999.000000,0,0.982310
22,90.000000,30.000000,115.070998,1505.000000,2339.000000,5.000000,2174.500000,0,0.984159
23,60.000000,45.000000,119.307022,2879.000000,1211.000000,12.000000,2210.000000,0,0.980697
24,45.000000,30.000000,119.054545,2636.000000,1312.000000,7.000000,2182.000000,0,0.980895
25,75.000000,45.000000,118.605202,2480.000000,1953.000000,11.000000,2190.000000,0,0.980524
26,60.000000,60.000000,121.127926,3470.000000,490.000000,18.000000,2169.000000,0,0.982337
27,45.000000,45.000000,123.647262,3352.000000,379.000000,12.000000,2170.000000,0,0.978579
28,75.000000,30.000000,116.809302,1882.000000,2528.000000,4.000000,2144.500000,0,0.980567
29,30.000000,30.000000,127.419247,3106.000000,327.000000,8.000000,2151.000000,0,0.981968
30,90.000000,60.000000,121.168568,2847.000000,1375.000000,15.000000,2196.000000,0,0.980357
31,90.000000,45.000000,111.977514,2228.000000,1745.000000,8.000000,2233.000000,0,0.982402
32,75.000000,60.000000,123.362813,3134.000000,1255.000000,17.000000,2147.000000,0,0.977464
33,30.000000,75.000000,165.505879,3949.000000,5.000000,1205.000000,1538.000000,0,0.973110
34,30.000000,60.000000,151.978116,4177.000000,16.000000,596.000000,1685.000000,0,0.971462
35,30.000000,45.000000,134.662603,3888.000000,14.000000,13.000000,1890.500000,0,0.979280
36,60.000000,45.000000,121.779759,2897.000000,1362.000000,11.000000,2177.500000,0,0.982183
37,90.000000,30.000000,111.734723,1380.000000,2437.000000,4.000000,2201.500000,0,0.984351
38,45.000000,60.000000,134.535247,3722.000000,65.000000,19.000000,1988.500000,0,0.981975
39,60.000000,30.000000,117.940838,2284.000000,1817.000000,6.000000,2179.000000,0,0.981090
40,90.000000,45.000000,117.581680,2464.000000,1913.000000,9.000000,2153.000000,0,0.981984
41,45.000000,30.000000,117.675678,2562.000000,1280.000000,6.000000,2137.500000,0,0.976250
42,30.000000,75.000000,168.026538,4209.000000,8.000000,1244.000000,1553.500000,0,0.973676
43,75.000000,45.000000,119.819269,2678.000000,2033.000000,12.000000,2187.500000,0,0.981822
44,30.000000,30.000000,121.132799,2920.000000,427.000000,8.000000,2124.000000,0,0.978126
45,60.000000,60.000000,128.021109,3510.000000,794.000000,18.000000,2141.000000,0,0.978967
46,90.000000,60.000000,120.639002,2919.000000,1360.000000,14.000000,2172.500000,0,0.984145
47,45.000000,45.000000,123.991890,3582.000000,357.000000,13.000000,2174.000000,0,0.979721
48,30.000000,60.000000,153.112727,4381.000000,15.000000,592.000000,1700.000000,0,0.975890
49,75.000000,30.000000,117.581756,2050.000000,2677.000000,5.000000,2159.000000,0,0.983599
50,75.000000,60.000000,126.491397,3151.000000,1361.000000,17.000000,2150.500000,0,0.979058
51,30.000000,45.000000,136.067863,3994.000000,13.000000,13.000000,1900.500000,0,0.979892
52,45.000000,60.000000,134.894687,3555.000000,89.000000,19.000000,2024.000000,0,0.983718
53,90.000000,30.000000,115.105297,1859.000000,2391.000000,4.000000,2164.500000,0,0.981410
54,60.000000,45.000000,116.630646,2622.000000,1245.000000,21.000000,2182.000000,0,0.981556
55,30.000000,75.000000,163.771503,4066.000000,7.000000,1204.000000,1567.500000,0,0.974208
56,60.000000,30.000000,116.360763,1912.000000,1956.000000,6.000000,2169.500000,0,0.981230
57,30.000000,60.000000,151.829291,4183.000000,12.000000,597.000000,1697.500000,0,0.980364
58,45.000000,30.000000,117.422318,2299.000000,1406.000000,6.000000,2168.000000,0,0.976797
59,90.000000,45.000000,116.543312,2135.000000,1863.000000,8.000000,2185.000000,0,0.976973
60,45.000000,45.000000,126.036056,3282.000000,476.000000,13.000000,2122.500000,0,0.977435
61,75.000000,45.000000,119.447784,2670.000000,1933.000000,8.000000,2182.000000,0,0.978914
62,60.000000,60.000000,123.719402,3550.000000,693.000000,19.000000,2128.500000,0,0.983595
63,90.000000,60.000000,121.756575,2919.000000,1582.000000,14.000000,2212.500000,0,0.979199
64,30.000000,30.000000,132.076369,3059.000000,525.000000,8.000000,2147.000000,0,0.988490
65,75.000000,30.000000,115.132109,1883.000000,2446.000000,5.000000,2140.000000,0,0.982102
66,75.000000,60.000000,124.959856,3062.000000,1243.000000,17.000000,2161.000000,0,0.978492
67,30.000000,45.000000,133.697008,3968.000000,15.000000,12.000000,1882.000000,0,0.979953
68,45.000000,60.000000,127.440382,3760.000000,79.000000,19.000000,2001.000000,0,0.976812
69,45.000000,75.000000,143.562756,3801.000000,20.000000,535.000000,1798.500000,0,0.973478
70,60.000000,45.000000,127.244194,2985.000000,1417.000000,12.000000,2165.000000,0,0.981192
71,90.000000,30.000000,110.672636,1451.000000,2207.000000,4.000000,2184.500000,0,0.981798
72,60.000000,75.000000,128.068593,3867.000000,38.000000,28.000000,2014.000000,0,0.978620
73,45.000000,45.000000,123.566481,3314.000000,538.000000,13.000000,2136.500000,0,0.977580
74,60.000000,30.000000,115.952044,2149.000000,2037.000000,5.000000,2193.000000,0,0.983188
75,90.000000,45.000000,119.340246,2204.000000,1758.000000,9.000000,2178.000000,0,0.979317
76,45.000000,30.000000,119.172475,2587.000000,1188.000000,7.000000,2161.500000,0,0.981831
77,75.000000,45.000000,119.691818,2533.000000,1929.000000,10.000000,2177.000000,0,0.980852
78,60.000000,60.000000,128.314127,3415.000000,829.000000,18.000000,2130.500000,0,0.976622
79,30.000000,30.000000,127.909948,2880.000000,322.000000,8.000000,2138.500000,0,0.983444
80,75.000000,30.000000,115.036970,1835.000000,2559.000000,4.000000,2171.500000,0,0.979256
