id,duracion11,duracion56,dpi,max_cola_norte,max_cola_sureste1,max_cola_sureste2,throughput,sin_camino,pvc
1,60.000000,60.000000,39.179951,9.000000,4.000000,5.000000,548.000000,0,0.997270
2,60.000000,30.000000,30.112750,5.000000,4.000000,2.000000,575.000000,0,0.993950
3,90.000000,30.000000,31.360036,3.000000,5.000000,3.000000,564.000000,0,0.994709
4,75.000000,30.000000,32.066162,6.000000,7.000000,2.000000,597.000000,0,0.995830
5,30.000000,30.000000,31.315721,5.000000,2.000000,4.000000,572.500000,0,0.991342
6,90.000000,45.000000,35.255293,7.000000,7.000000,4.000000,575.500000,0,0.993097
7,60.000000,45.000000,34.143154,6.000000,4.000000,3.000000,560.500000,0,0.990283
8,75.000000,60.000000,39.884762,11.000000,5.000000,6.000000,600.000000,0,0.994200
9,75.000000,45.000000,33.612384,6.000000,5.000000,4.000000,585.000000,0,0.992366
10,30.000000,45.000000,37.957885,13.000000,2.000000,5.000000,571.500000,0,0.988754
11,45.000000,30.000000,30.228995,6.000000,4.000000,2.000000,597.500000,0,0.994176
12,45.000000,45.000000,35.434748,7.000000,3.000000,3.000000,589.500000,0,0.991590
13,30.000000,60.000000,44.833435,10.000000,2.000000,6.000000,576.500000,0,0.992255
14,45.000000,60.000000,41.160141,10.000000,4.000000,6.000000,569.500000,0,0.992160
15,90.000000,60.000000,40.021639,9.000000,8.000000,7.000000,579.000000,0,0.992288
16,30.000000,75.000000,57.196205,52.000000,2.000000,6.000000,583.000000,0,0.994881
17,60.000000,30.000000,31.100648,6.000000,5.000000,2.000000,582.000000,0,0.995723
18,30.000000,30.000000,30.310610,5.000000,2.000000,3.000000,561.000000,0,0.994681
19,75.000000,30.000000,31.316007,4.000000,9.000000,2.000000,598.500000,0,0.990894
20,90.000000,30.000000,31.503975,3.000000,6.000000,3.000000,609.000000,0,0.991857
21,60.000000,45.000000,34.740399,6.000000,6.000000,4.000000,576.000000,0,0.996540
22,90.000000,45.000000,35.072191,6.000000,7.000000,4.000000,562.000000,0,0.990308
23,75.000000,45.000000,34.653277,8.000000,6.000000,4.000000,570.000000,0,0.996503
24,60.000000,60.000000,38.747655,19.000000,4.000000,5.000000,588.500000,0,0.996613
25,45.000000,30.000000,29.600653,5.000000,3.000000,2.000000,580.000000,0,0.994854
26,30.000000,45.000000,37.457216,6.000000,2.000000,4.000000,584.500000,0,0.992360
27,45.000000,45.000000,34.171288,9.000000,4.000000,4.000000,535.500000,0,0.992586
28,75.000000,60.000000,39.305225,9.000000,4.000000,5.000000,595.500000,0,0.992500
29,30.000000,60.000000,46.725086,22.000000,3.000000,4.000000,573.000000,0,0.993929
30,45.000000,60.000000,40.011342,10.000000,3.000000,7.000000,580.000000,0,0.994002
31,90.000000,60.000000,37.557268,16.000000,6.000000,5.000000,605.500000,0,0.997529
32,30.000000,75.000000,60.072683,42.000000,1.000000,7.000000,588.500000,0,0.992411
33,60.000000,30.000000,30.701416,5.000000,5.000000,2.000000,575.500000,0,0.988832
34,75.000000,45.000000,34.981214,9.000000,6.000000,5.000000,553.500000,0,0.991935
35,30.000000,30.000000,30.226366,4.000000,3.000000,2.000000,584.000000,0,0.994043
36,30.000000,45.000000,35.319380,6.000000,2.000000,3.000000,563.000000,0,0.990325
37,45.000000,30.000000,31.169167,4.000000,4.000000,2.000000,608.000000,0,0.995090
38,60.000000,45.000000,35.298752,6.000000,4.000000,4.000000,576.500000,0,0.993966
39,90.000000,45.000000,35.300036,6.000000,8.000000,6.000000,628.500000,0,0.995249
40,90.000000,30.000000,31.322971,4.000000,6.000000,3.000000,571.500000,0,0.994778
41,60.000000,60.000000,39.064571,12.000000,6.000000,5.000000,576.000000,0,0.996540
42,75.000000,60.000000,38.257241,8.000000,5.000000,6.000000,575.000000,0,0.989673
43,75.000000,30.000000,32.067358,4.000000,6.000000,2.000000,610.000000,0,0.992677
44,45.000000,60.000000,40.152343,10.000000,3.000000,5.000000,579.500000,0,0.992295
45,30.000000,60.000000,45.009639,10.000000,2.000000,6.000000,610.000000,0,0.992677
46,45.000000,45.000000,36.391842,8.000000,4.000000,5.000000,584.000000,0,0.993197
47,90.000000,60.000000,37.955686,8.000000,8.000000,5.000000,590.500000,0,0.987458
48,30.000000,75.000000,52.430510,20.000000,2.000000,6.000000,587.500000,0,0.988225
49,60.000000,30.000000,30.780388,6.000000,5.000000,3.000000,580.500000,0,0.994007
50,60.000000,45.000000,34.659267,6.000000,5.000000,4.000000,578.500000,0,0.993133
51,30.000000,45.000000,35.607615,6.000000,3.000000,4.000000,566.000000,0,0.986922
52,75.000000,30.000000,30.336555,3.000000,4.000000,2.000000,573.500000,0,0.995660
53,45.000000,30.000000,30.254205,4.000000,3.000000,2.000000,623.000000,0,0.996800
54,90.000000,30.000000,30.966782,7.000000,6.000000,2.000000,585.000000,0,0.998294
55,90.000000,45.000000,33.794740,6.000000,7.000000,5.000000,578.500000,0,0.998274
56,75.000000,60.000000,39.299669,12.000000,5.000000,5.000000,582.000000,0,0.991482
57,30.000000,30.000000,31.483285,5.000000,3.000000,2.000000,592.500000,0,0.994962
58,75.000000,45.000000,34.133056,6.000000,6.000000,3.000000,587.000000,0,0.993232
59,45.000000,60.000000,40.679869,8.000000,3.000000,6.000000,585.500000,0,0.991533
60,30.000000,60.000000,43.504957,11.000000,2.000000,7.000000,575.500000,0,0.990534
61,60.000000,60.000000,40.126194,12.000000,4.000000,6.000000,581.500000,0,0.991475
62,45.000000,45.000000,34.956110,11.000000,3.000000,4.000000,575.500000,0,0.992241
63,90.000000,60.000000,39.180689,7.000000,10.000000,5.000000,587.000000,0,0.994915
64,60.000000,45.000000,35.072762,9.000000,5.000000,3.000000,559.500000,0,0.989390
65,75.000000,30.000000,31.153063,3.000000,7.000000,2.000000,585.000000,0,0.995745
66,90.000000,30.000000,30.576678,5.000000,7.000000,2.000000,563.500000,0,0.990334
67,60.000000,30.000000,30.811131,3.000000,4.000000,2.000000,600.000000,0,0.992556
68,45.000000,30.000000,30.615074,5.000000,4.000000,2.000000,592.500000,0,0.993294
69,30.000000,75.000000,52.517681,23.000000,3.000000,9.000000,589.000000,0,0.992418
70,30.000000,45.000000,36.856230,6.000000,2.000000,4.000000,588.000000,0,0.994924
71,75.000000,60.000000,39.048104,9.000000,5.000000,5.000000,574.000000,0,0.993939
72,90.000000,45.000000,35.943883,14.000000,7.000000,3.000000,595.000000,0,0.994152
73,30.000000,30.000000,31.535914,16.000000,2.000000,3.000000,571.500000,0,0.994778
74,45.000000,60.000000,40.873689,10.000000,3.000000,6.000000,593.000000,0,0.995802
75,75.000000,45.000000,35.262735,6.000000,6.000000,4.000000,580.000000,0,0.990606
76,30.000000,60.000000,41.954108,11.000000,2.000000,6.000000,558.000000,0,0.992000
77,60.000000,60.000000,39.920982,8.000000,5.000000,5.000000,584.500000,0,0.988166
78,45.000000,45.000000,34.828943,6.000000,4.000000,3.000000,584.500000,0,0.994048
79,90.000000,60.000000,39.795515,13.000000,11.000000,5.000000,613.000000,0,0.994323
80,90.000000,75.000000,42.752975,10.000000,6.000000,5.000000,588.500000,0,0.997458
81,75.000000,75.000000,43.071438,10.000000,4.000000,7.000000,568.500000,0,0.993881
82,60.000000,75.000000,43.483322,10.000000,7.000000,8.000000,591.000000,0,0.991611
83,45.000000,75.000000,47.504642,11.000000,3.000000,6.000000,583.000000,0,0.991497
84,60.000000,90.000000,51.359393,16.000000,9.000000,9.000000,567.000000,0,0.992995
85,30.000000,75.000000,58.434315,79.000000,2.000000,9.000000,586.500000,0,0.989873
86,30.000000,90.000000,75.134199,140.000000,3.000000,9.000000,576.500000,0,0.984629
87,45.000000,90.000000,51.243707,15.000000,5.000000,8.000000,582.500000,0,0.981466
88,75.000000,90.000000,48.732622,13.000000,7.000000,7.000000,596.500000,0,0.998326
