indice_tiempo,par_origen_destino,viajes,asientos,pasajeros
2019,9 De Julio-Ciudad Autónoma De Buenos Aires,400,10900,8347
2019,Aguas Blancas-La Plata,56,3171,2364
2019,Aguas Blancas-Salta,2339,137051,95260
2019,Aguas Blancas-San Salvador De Jujuy,351,21766,13068
2019,Alta Gracia-Ciudad Autónoma De Buenos Aires,440,21881,16746
2019,America-Ciudad Autónoma De Buenos Aires,674,35467,20564
2019,Andresito-La Plata,666,29826,27906
2019,Ascochinga-Ciudad Autónoma De Buenos Aires,322,18041,12157
2019,Avellaneda-Merlo,51,2697,2518
2019,Avellaneda-Salta,284,16205,16032
2019,Avellaneda-Villa Carlos Paz,62,3580,3485
2019,Azul-Caba,64,1216,651
2019,Bahia Blanca-Ciudad Autónoma De Buenos Aires,3882,163927,124717
2019,Bahia Blanca-Mendoza,69,3808,4384
2019,Bahia Blanca-Neuquén,1110,65164,71986
2019,Bahia Blanca-Paraná,407,23076,25596
2019,Bahia Blanca-Rio Gallegos,337,14085,13736
2019,Bahia Blanca-Viedma,530,30612,16421
2019,Balcarce-Caba,74,1414,873
2019,Baradero-Ciudad Autónoma De Buenos Aires,329,6263,3720
2019,Belen-San Fernando Del Valle De Catamarca,931,54979,39174
2019,Bella Vista-Ciudad Autónoma De Buenos Aires,708,22363,14174
2019,Berazategui-Ciudad Autónoma De Buenos Aires,48,1349,1267
2019,Berazategui-Juan Bautista Alberdi,376,21824,15715
2019,Bermejo-Mendoza,375,20685,12110
2019,Bernardo De Irigoyen-Posadas,70,3920,442
2019,Bragado-Ciudad Autónoma De Buenos Aires,353,8898,6172
2019,Caba-Azul,60,1144,689
2019,Caba-Balcarce,130,2478,1759
2019,Caba-Libertador General San Martin,56,3286,2915
2019,Caba-Mar Del Plata,202,6076,4850
2019,Caba-Salta,48,2773,2491
2019,Caba-San Salvador De Jujuy,110,6253,5755
2019,Caba-Villa Carlos Paz,71,4324,3871
2019,Cafayate-San Miguel De Tucumán,900,53719,23427
2019,Caleta Olivia-Comodoro Rivadavia,3152,156191,50246
2019,Caleta Olivia-La Plata,410,16668,19944
2019,Caleta Olivia-Mendoza,362,20863,30283
2019,Caleta Olivia-Tinogasta,87,4808,3696
2019,Campo Largo-Rafael Castillo,299,17360,9931
2019,Capilla Del Monte-Ciudad Autónoma De Buenos Aires,2667,126238,106558
2019,Capilla Del Monte-Ciudadela,392,22941,18725
2019,Capilla Del Monte-Corrientes,54,3074,3287
2019,Capilla Del Monte-La Plata,1161,57878,46717
2019,Capilla Del Monte-Paraná,471,27262,25275
2019,Capilla Del Monte-Rosario,707,35046,25811
2019,Capital-Humahuaca,66,1258,1061
2019,Capitan Sarmiento-Ciudad Autónoma De Buenos Aires,145,8354,7595
2019,Carhue-Ciudad Autónoma De Buenos Aires,453,23418,15743
2019,Carmen De Areco-Ciudad Autónoma De Buenos Aires,129,2461,1400
2019,Caucete-Mendoza,242,14630,2703
2019,Ceres-Córdoba,295,18282,7602
2019,Chacabuco-Ciudad Autónoma De Buenos Aires,238,4612,3117
2019,Chascomus-Ciudad Autónoma De Buenos Aires,301,6886,4516
2019,Chilecito-Córdoba,352,20716,16010
2019,Chilecito-Mendoza,342,20860,10872
2019,Chivilcoy-Ciudad Autónoma De Buenos Aires,1820,36176,24419
2019,Cipolletti-Anelo,108,2214,1594
2019,Ciudad Autonoma De-Caba,50,950,359
2019,Ciudad Autónoma De Buenos Aires-9 De Julio,386,10315,7883
2019,Ciudad Autónoma De Buenos Aires-Alta Gracia,465,22547,17393
2019,Ciudad Autónoma De Buenos Aires-America,657,34497,28650
2019,Ciudad Autónoma De Buenos Aires-Ascochinga,321,17956,13169
2019,Ciudad Autónoma De Buenos Aires-Bahia Blanca,4302,187698,141310
2019,Ciudad Autónoma De Buenos Aires-Baradero,243,4723,2805
2019,Ciudad Autónoma De Buenos Aires-Bella Vista,679,21366,12699
2019,Ciudad Autónoma De Buenos Aires-Bragado,646,14446,9636
2019,Ciudad Autónoma De Buenos Aires-Campana,214,9395,6780
2019,Ciudad Autónoma De Buenos Aires-Capilla Del Monte,3001,140345,123058
2019,Ciudad Autónoma De Buenos Aires-Carhue,470,24164,16884
2019,Ciudad Autónoma De Buenos Aires-Chacabuco,176,3439,2455
2019,Ciudad Autónoma De Buenos Aires-Chascomus,207,4187,2667
2019,Ciudad Autónoma De Buenos Aires-Chivilcoy,625,11843,7209
2019,Ciudad Autónoma De Buenos Aires-Claromeco,172,7423,5930
2019,Ciudad Autónoma De Buenos Aires-Colon,1490,82326,56106
2019,Ciudad Autónoma De Buenos Aires-Comodoro Rivadavia,1755,90130,113030
2019,Ciudad Autónoma De Buenos Aires-Coronel Pringles,48,2016,1623
2019,Ciudad Autónoma De Buenos Aires-Coronel Suarez,355,15255,9168
2019,Ciudad Autónoma De Buenos Aires-Corrientes,958,55386,56440
2019,Ciudad Autónoma De Buenos Aires-Costa Atlantica,60,1176,673
2019,Ciudad Autónoma De Buenos Aires-Crespo,716,41094,28398
2019,Ciudad Autónoma De Buenos Aires-Cruz Del Eje,360,20206,15468
2019,Ciudad Autónoma De Buenos Aires-Curuzu Cuatia,357,20712,15339
2019,Ciudad Autónoma De Buenos Aires-Córdoba,5053,244746,224771
2019,Ciudad Autónoma De Buenos Aires-Daireaux,262,11091,6926
2019,Ciudad Autónoma De Buenos Aires-Eduardo Castex,264,10046,6823
2019,Ciudad Autónoma De Buenos Aires-Ezeiza,141,6035,4484
2019,Ciudad Autónoma De Buenos Aires-Federacion,1131,64681,46496
2019,Ciudad Autónoma De Buenos Aires-Federal,216,11634,7031
2019,Ciudad Autónoma De Buenos Aires-Firmat,51,2939,2825
2019,Ciudad Autónoma De Buenos Aires-Formosa,880,40712,40626
2019,Ciudad Autónoma De Buenos Aires-General Campos,349,20015,14966
2019,Ciudad Autónoma De Buenos Aires-General Lamadrid,320,13736,13230
2019,Ciudad Autónoma De Buenos Aires-General Pico,1168,48997,41336
2019,Ciudad Autónoma De Buenos Aires-General Rodriguez,100,2012,1411
2019,Ciudad Autónoma De Buenos Aires-General Viamonte,126,5308,2712
2019,Ciudad Autónoma De Buenos Aires-General Villegas,911,53242,38767
2019,Ciudad Autónoma De Buenos Aires-Goya,788,35401,32135
2019,Ciudad Autónoma De Buenos Aires-Gualeguay,73,3293,1713
2019,Ciudad Autónoma De Buenos Aires-Gualeguaychu,818,40776,23669
2019,Ciudad Autónoma De Buenos Aires-Hernandarias,94,5203,3460
2019,Ciudad Autónoma De Buenos Aires-Huanguelen,347,20016,12579
