indice_tiempo,par_origen_destino,viajes,asientos,pasajeros
2019,25 De Mayo - Ciudad Autonoma De Buenos Aires,492,9555,8866
2019,9 De Julio - Ciudad Autonoma De Buenos Aires,1055,27088,20136
2019,9 De Julio - Cuidad Autonoma,76,1712,1274
2019,Aguilares - Aguas Blancas,61,3660,2360
2019,Allen - Neuquen,81,2310,1533
2019,Anelo - Cipolletti,218,3677,2259
2019,Ar - Ar,53,1007,298
2019,Arrecifes - Ciudad Autonoma De Buenos Aires,148,3302,2834
2019,Arrecifes - Melincue,186,3534,3327
2019,Arrecifes - Rosario,139,2831,2295
2019,Arroyito - Ciudad Autonoma De Buenos Aires,62,3335,2621
2019,Arroyo Seco - Ramallo,91,1005,781
2019,Ascension - Ciudad Autonoma De Buenos Aires,121,1904,1097
2019,Avellaneda - Ciudad Autonoma De Buenos Aires,98,5411,4280
2019,Avellaneda - Federacion,48,2879,2629
2019,Avellaneda - Merlo,92,5135,4609
2019,Avellaneda - Termas De Rio Hondo,79,3763,3429
2019,Avellaneda - Villa Carlos Paz,80,4767,4266
2019,Ayacucho - Ciudad Autonoma De Buenos Aires,49,1067,887
2019,Azul - Ciudad Autonoma De Buenos Aires,72,2797,2352
2019,Bahia Blanca - Ciudad Autonoma De Buenos Aires,670,29504,24821
2019,Balcarce - Ciudad Autonoma De Buenos Aires,87,2215,1671
2019,Baradero - Buenos Aires,75,1425,976
2019,Baradero - Ciudad Autonoma De Buenos Aires,1418,28901,21110
2019,Bella Vista - Ciudad Autonoma De Buenos Aires,236,11342,8160
2019,Berazategui - Ciudad Autonoma De Buenos Aires,384,9387,8593
2019,Bolivar - Ciudad Autonoma De Buenos Aires,93,2121,1161
2019,Bragado - Ciudad Autonoma De Buenos Aires,2201,52239,33528
2019,Brandsen - Ciudad Autonoma De Buenos Aires,69,2352,1887
2019,Buenos Aires - Lincoln,215,4053,2858
2019,Buenos Aires - Santiago Del Estero,82,4979,3453
2019,Campana - Ciudad Autonoma De Buenos Aires,433,15592,12227
2019,Canada De Gomez - Ciudad Autonoma De Buenos Aires,120,6332,5168
2019,Capitan Bermudez - Victoria,104,1600,1564
2019,Carlos Casares - Ciudad Autonoma De Buenos Aires,72,1903,1416
2019,Carmen De Areco - Ciudad Autonoma De Buenos Aires,564,10271,8806
2019,Castelar - Ciudad Autonoma De Buenos Aires,205,8977,5622
2019,Catamarca - Ciudad Autonoma De Buenos Aires,51,3082,2599
2019,Catriel - Corcobo,66,2550,1998
2019,Catriel - Senal Picada,56,2184,1848
2019,Cauchari - Salta,49,1031,681
2019,Cañuelas - Ciudad Autonoma De Buenos Aires,61,2708,2307
2019,Centenario - Ciudad Autonoma De Buenos Aires,79,4406,3621
2019,Ceres - Morteros,52,1127,997
2019,Ceres - Parana,54,1412,1215
2019,Cevil Pozo - Termas De Rio Hondo,396,7524,2889
2019,Chacabuco - Ciudad Autonoma De Buenos Aires,1235,26004,18778
2019,Chajari - Ciudad Autonoma De Buenos Aires,190,9810,7173
2019,Charata - Ciudad Autonoma De Buenos Aires,81,2899,2731
2019,Chascomus - Ciudad Autonoma De Buenos Aires,954,24292,17552
2019,Chivilcoy - Ciudad Autonoma De Buenos Aires,3879,77577,55329
2019,Cipolletti - Anelo,368,6162,4563
2019,Cipolletti - El Chocon,61,2948,2552
2019,Cipolletti - Neuquen,1192,13683,9448
2019,Cipolletti - Rincon De Los Sauces,52,1345,1055
2019,Ciudad - Ciudad Autonoma De Buenos Aires,363,18788,17867
2019,Ciudad - Oran,67,4022,3324
2019,Ciudad Autonoma De Buenos Aires - 25 De Mayo,78,1568,1300
2019,Ciudad Autonoma De Buenos Aires - 9 De Julio,1016,22715,18441
2019,Ciudad Autonoma De Buenos Aires - Ar,71,1105,553
2019,Ciudad Autonoma De Buenos Aires - Areco,79,1928,1251
2019,Ciudad Autonoma De Buenos Aires - Ascension,117,1775,767
2019,Ciudad Autonoma De Buenos Aires - Avellaneda,70,3276,2482
2019,Ciudad Autonoma De Buenos Aires - Azul,71,1876,1411
2019,Ciudad Autonoma De Buenos Aires - Bahia Blanca,97,3999,2997
2019,Ciudad Autonoma De Buenos Aires - Balcarce,91,2098,1548
2019,Ciudad Autonoma De Buenos Aires - Baradero,846,18578,12769
2019,Ciudad Autonoma De Buenos Aires - Benavidez,153,4040,2861
2019,Ciudad Autonoma De Buenos Aires - Berazategui,78,2265,1580
2019,Ciudad Autonoma De Buenos Aires - Bragado,2262,52803,31736
2019,Ciudad Autonoma De Buenos Aires - Campana,232,9261,6781
2019,Ciudad Autonoma De Buenos Aires - Canning,64,1808,1652
2019,Ciudad Autonoma De Buenos Aires - Capilla Del Monte,73,4401,4026
2019,Ciudad Autonoma De Buenos Aires - Capilla Del Senor,163,5965,4897
2019,Ciudad Autonoma De Buenos Aires - Cardales,251,5856,3856
2019,Ciudad Autonoma De Buenos Aires - Cañuelas,98,3417,2635
2019,Ciudad Autonoma De Buenos Aires - Chacabuco,867,17155,11096
2019,Ciudad Autonoma De Buenos Aires - Chapadmalal,103,4619,3763
2019,Ciudad Autonoma De Buenos Aires - Chascomus,854,22192,16288
2019,Ciudad Autonoma De Buenos Aires - Chivilcoy,3392,66670,48559
2019,Ciudad Autonoma De Buenos Aires - Ciudad Autonoma De Buenos Aires,4269,149136,113829
2019,Ciudad Autonoma De Buenos Aires - Colon,244,11257,9025
2019,Ciudad Autonoma De Buenos Aires - Concepcion Del Uruguay,73,2552,2097
2019,Ciudad Autonoma De Buenos Aires - Concordia,131,6390,5042
2019,Ciudad Autonoma De Buenos Aires - Cordoba,225,9669,8417
2019,Ciudad Autonoma De Buenos Aires - Costa Atlantica,51,973,699
2019,Ciudad Autonoma De Buenos Aires - Dolores,62,2320,1908
2019,Ciudad Autonoma De Buenos Aires - Ensenada,60,1369,969
2019,Ciudad Autonoma De Buenos Aires - Escobar,560,19356,16488
2019,Ciudad Autonoma De Buenos Aires - Esteban Echeverria,50,1607,1135
2019,Ciudad Autonoma De Buenos Aires - Exaltacion De La Cruz,69,2349,1806
2019,Ciudad Autonoma De Buenos Aires - Ezeiza,1015,44770,35355
2019,Ciudad Autonoma De Buenos Aires - Federacion,199,10923,9447
2019,Ciudad Autonoma De Buenos Aires - Florencio Varela,86,4076,3577
2019,Ciudad Autonoma De Buenos Aires - Garin,57,1887,1432
2019,Ciudad Autonoma De Buenos Aires - General Rodriguez,432,11756,8818
2019,Ciudad Autonoma De Buenos Aires - Gualeguaychu,313,13497,11311
2019,Ciudad Autonoma De Buenos Aires - Guernica,106,2431,937
2019,Ciudad Autonoma De Buenos Aires - Hurlingham,132,7369,6086
2019,Ciudad Autonoma De Buenos Aires - Junin,167,4393,3078
2019,Ciudad Autonoma De Buenos Aires - La Falda,98,5438,4544
2019,Ciudad Autonoma De Buenos Aires - La Plata,996,46944,40349
2019,Ciudad Autonoma De Buenos Aires - La Reja,60,2535,2128
2019,Ciudad Autonoma De Buenos Aires - La Rioja,58,3078,2410
2019,Ciudad Autonoma De Buenos Aires - Las Flores,433,8368,5205
2019,Ciudad Autonoma De Buenos Aires - Las Lenas,101,4375,3848
2019,Ciudad Autonoma De Buenos Aires - Libertador General San Martin,103,5991,5414
2019,Ciudad Autonoma De Buenos Aires - Lima,214,12250,12677
2019,Ciudad Autonoma De Buenos Aires - Lincoln,152,3040,1927
2019,Ciudad Autonoma De Buenos Aires - Lobos,174,5759,4436
2019,Ciudad Autonoma De Buenos Aires - Lomas De Zamora,124,3187,2631
2019,Ciudad Autonoma De Buenos Aires - Los Cardales,170,5316,3569
2019,Ciudad Autonoma De Buenos Aires - Los Toldos,203,5175,4163
2019,Ciudad Autonoma De Buenos Aires - Lujan,996,32276,26226
2019,Ciudad Autonoma De Buenos Aires - Mar De Ajo,127,4883,3981
2019,Ciudad Autonoma De Buenos Aires - Mar Del Plata,2266,105422,88981
2019,Ciudad Autonoma De Buenos Aires - Mar Del Tuyu,206,10153,8527
2019,Ciudad Autonoma De Buenos Aires - Marcos Paz,115,4761,4086
2019,Ciudad Autonoma De Buenos Aires - Mendoza,241,12979,11105
2019,Ciudad Autonoma De Buenos Aires - Mercedes,165,6558,5628
2019,Ciudad Autonoma De Buenos Aires - Merlo,390,22033,19555
2019,Ciudad Autonoma De Buenos Aires - Miramar,107,3671,2720
2019,Ciudad Autonoma De Buenos Aires - Moreno,86,3208,2658
2019,Ciudad Autonoma De Buenos Aires - Navarro,93,2800,2477
2019,Ciudad Autonoma De Buenos Aires - Necochea,84,3914,3156
2019,Ciudad Autonoma De Buenos Aires - Olavarria,66,2415,1777
2019,Ciudad Autonoma De Buenos Aires - Oran,86,5042,3457
2019,Ciudad Autonoma De Buenos Aires - Pacheco,137,3313,2728
2019,Ciudad Autonoma De Buenos Aires - Parana,133,5340,3960
2019,Ciudad Autonoma De Buenos Aires - Pehuajo,132,2464,1330
2019,Ciudad Autonoma De Buenos Aires - Pergamino,170,3568,2504
2019,Ciudad Autonoma De Buenos Aires - Perito Moreno,81,3483,2077
2019,Ciudad Autonoma De Buenos Aires - Pilar,628,19723,16066
2019,Ciudad Autonoma De Buenos Aires - Pinamar,206,8679,7383
2019,Ciudad Autonoma De Buenos Aires - Puerto Iguazu,150,8794,7746
2019,Ciudad Autonoma De Buenos Aires - Quilmes,62,2798,2184
2019,Ciudad Autonoma De Buenos Aires - Ramos Mejia,80,2013,1679
2019,Ciudad Autonoma De Buenos Aires - Rauch,64,1346,767
2019,Ciudad Autonoma De Buenos Aires - Rosario,1326,49499,40402
2019,Ciudad Autonoma De Buenos Aires - Saladillo,1378,27523,17392
2019,Ciudad Autonoma De Buenos Aires - Salta,669,38506,32577
2019,Ciudad Autonoma De Buenos Aires - Salto,1016,19151,10803
2019,Ciudad Autonoma De Buenos Aires - San Andres De Giles,57,1938,1597
2019,Ciudad Autonoma De Buenos Aires - San Antonio De Areco,681,18583,12656
2019,Ciudad Autonoma De Buenos Aires - San Bernardo,517,29352,26693
2019,Ciudad Autonoma De Buenos Aires - San Carlos De Bariloche,164,9363,8083
2019,Ciudad Autonoma De Buenos Aires - San Clemente,206,10472,9266
2019,Ciudad Autonoma De Buenos Aires - San Isidro,72,2417,1925
2019,Ciudad Autonoma De Buenos Aires - San Luis,49,2314,1818
2019,Ciudad Autonoma De Buenos Aires - San Miguel,97,3689,2938
2019,Ciudad Autonoma De Buenos Aires - San Miguel De Tucuman,59,2455,1918
2019,Ciudad Autonoma De Buenos Aires - San Miguel Del Monte,1201,23707,12724
2019,Ciudad Autonoma De Buenos Aires - San Nicolas,707,31194,27331
2019,Ciudad Autonoma De Buenos Aires - San Pedro,1430,40884,30248
