id,dpi,max_cola_norte,max_cola_sureste1,max_cola_sureste2,throughput,pvc
1,33.164339,6.000000,6.000000,4.000000,3104.500000,0.994713
2,33.511398,2.000000,5.000000,1.000000,3065.500000,0.993840
3,33.660937,3.000000,4.000000,4.000000,3092.000000,0.993095
4,34.154288,3.000000,5.000000,4.000000,3117.500000,0.993784
5,33.158936,5.000000,6.000000,2.000000,3019.000000,0.994564
6,32.999855,3.000000,4.000000,2.000000,3035.000000,0.993779
7,33.244523,3.000000,3.000000,5.000000,3035.500000,0.992642
8,33.467732,5.000000,4.000000,1.000000,3053.500000,0.992847
9,33.965055,5.000000,4.000000,2.000000,3103.000000,0.992801
10,33.498468,10.000000,7.000000,6.000000,3056.500000,0.994307
11,33.209661,3.000000,4.000000,5.000000,3050.500000,0.991871
12,33.472255,10.000000,5.000000,2.000000,3055.000000,0.992689
13,33.299359,2.000000,6.000000,4.000000,3009.000000,0.994711
14,33.537356,8.000000,3.000000,4.000000,3040.500000,0.992330
15,33.771655,5.000000,3.000000,1.000000,3061.500000,0.993994
16,32.867144,6.000000,5.000000,2.000000,3013.500000,0.994883
17,33.562722,4.000000,4.000000,6.000000,3049.000000,0.993969
18,33.660804,5.000000,4.000000,5.000000,3077.000000,0.994024
19,33.630897,4.000000,4.000000,4.000000,3049.500000,0.993646
20,33.765629,4.000000,6.000000,3.000000,3073.500000,0.996111
21,33.388985,3.000000,7.000000,5.000000,3073.500000,0.993695
22,33.669987,6.000000,5.000000,5.000000,3052.000000,0.993975
23,33.457142,4.000000,7.000000,5.000000,3046.500000,0.994451
24,33.301849,5.000000,5.000000,3.000000,3058.000000,0.994148
25,33.781433,4.000000,14.000000,2.000000,3096.500000,0.993423
26,33.388764,4.000000,6.000000,5.000000,3025.500000,0.994412
27,33.432275,3.000000,5.000000,1.000000,3053.000000,0.993653
28,33.411133,4.000000,6.000000,2.000000,3061.000000,0.993347
29,33.166846,7.000000,10.000000,2.000000,3034.000000,0.993451
30,33.097134,5.000000,7.000000,1.000000,3024.000000,0.994410
