id,dpi,max_cola_norte,max_cola_sureste1,max_cola_sureste2,throughput,pvc
1,27.716897,1.000000,2.000000,1.000000,555.000000,0.999100
2,27.784594,0.000000,1.000000,1.000000,589.500000,0.999153
3,27.795939,0.000000,1.000000,1.000000,592.500000,0.994962
4,28.145116,0.000000,1.000000,1.000000,605.500000,0.995888
5,28.430783,0.000000,1.000000,0.000000,595.500000,0.993328
6,27.514329,0.000000,1.000000,1.000000,585.500000,0.994058
7,27.815888,0.000000,3.000000,1.000000,570.000000,0.994764
8,27.761725,0.000000,1.000000,1.000000,590.500000,0.995784
9,27.943205,0.000000,1.000000,0.000000,571.500000,0.996513
10,27.750994,0.000000,1.000000,1.000000,585.000000,0.993209
11,27.965582,0.000000,1.000000,1.000000,572.500000,0.990484
12,28.331891,1.000000,1.000000,0.000000,597.000000,0.997494
13,27.981213,0.000000,1.000000,1.000000,591.000000,0.997468
14,28.234033,0.000000,1.000000,0.000000,581.000000,0.990622
15,27.528096,0.000000,1.000000,1.000000,567.500000,0.991266
16,28.690206,0.000000,1.000000,1.000000,561.500000,0.994686
17,28.582039,0.000000,0.000000,0.000000,573.500000,0.995660
18,27.861307,0.000000,1.000000,1.000000,582.000000,0.994022
19,27.908880,0.000000,1.000000,0.000000,552.500000,0.994599
20,27.794222,0.000000,1.000000,0.000000,558.500000,0.992889
21,27.688753,1.000000,1.000000,1.000000,564.000000,0.994709
22,28.300420,0.000000,2.000000,1.000000,602.500000,0.994224
23,28.096414,0.000000,1.000000,1.000000,608.000000,0.991035
24,27.790587,0.000000,2.000000,1.000000,580.000000,0.996564
25,28.019631,0.000000,1.000000,1.000000,571.500000,0.994778
26,28.121236,0.000000,1.000000,1.000000,593.000000,0.997477
27,27.830961,0.000000,1.000000,1.000000,577.500000,0.993121
28,28.023955,1.000000,1.000000,0.000000,581.000000,0.992314
29,27.773227,1.000000,1.000000,1.000000,594.000000,0.996644
30,28.884274,1.000000,1.000000,1.000000,566.500000,0.995606
