id,dpi,max_cola_norte,max_cola_sureste1,max_cola_sureste2,throughput,pvc
1,27.343041,0.000000,1.000000,0.000000,577.500000,0.993121
2,27.231802,1.000000,1.000000,0.000000,567.000000,0.993865
3,27.561403,1.000000,3.000000,0.000000,582.000000,0.989796
4,27.734753,0.000000,3.000000,0.000000,603.500000,0.995875
5,27.391072,1.000000,1.000000,0.000000,605.500000,0.995070
6,27.232985,0.000000,2.000000,0.000000,563.000000,0.993822
7,27.658342,0.000000,1.000000,0.000000,563.000000,0.997343
8,27.557872,2.000000,1.000000,0.000000,579.500000,0.994850
9,27.453744,2.000000,1.000000,0.000000,587.500000,0.992399
10,27.430915,0.000000,1.000000,0.000000,586.500000,0.990709
11,27.306447,0.000000,0.000000,0.000000,575.000000,0.997398
12,27.622428,1.000000,1.000000,0.000000,574.500000,0.996531
13,27.651737,0.000000,0.000000,0.000000,597.000000,0.994172
14,28.105888,0.000000,7.000000,0.000000,599.000000,0.993367
15,27.234062,0.000000,3.000000,0.000000,551.500000,0.996387
16,27.554841,0.000000,1.000000,0.000000,583.000000,0.998288
17,27.192749,0.000000,1.000000,0.000000,564.000000,0.994709
18,27.596258,0.000000,1.000000,0.000000,578.500000,0.998274
19,27.478596,0.000000,1.000000,0.000000,580.000000,0.994854
20,27.051725,0.000000,1.000000,0.000000,555.500000,0.994628
21,27.552143,2.000000,1.000000,0.000000,569.000000,0.995626
22,27.264490,0.000000,1.000000,0.000000,589.000000,0.997460
23,27.275433,1.000000,1.000000,0.000000,590.500000,0.993272
24,27.678243,1.000000,1.000000,0.000000,598.500000,0.994186
25,27.243044,4.000000,1.000000,0.000000,563.000000,0.992945
26,27.385476,0.000000,1.000000,0.000000,579.500000,0.992295
27,27.607986,1.000000,2.000000,0.000000,586.000000,0.996599
28,27.737122,0.000000,2.000000,0.000000,586.000000,0.995752
29,27.385555,0.000000,2.000000,0.000000,585.000000,0.995745
30,27.503744,3.000000,2.000000,0.000000,591.500000,0.992450
