id,dpi,max_cola_norte,max_cola_sureste1,max_cola_sureste2,throughput,pvc
1,43.873939,11.000000,11.000000,0.000000,3297.500000,0.995171
2,42.924013,5.000000,10.000000,0.000000,3202.000000,0.991485
3,42.628462,5.000000,7.000000,0.000000,3221.500000,0.992452
4,43.147212,6.000000,11.000000,0.000000,3288.000000,0.993504
5,43.099047,6.000000,8.000000,1.000000,3255.000000,0.992681
6,43.349656,8.000000,7.000000,1.000000,3245.500000,0.995094
7,42.937215,12.000000,7.000000,1.000000,3314.500000,0.995196
8,43.179061,8.000000,8.000000,0.000000,3318.000000,0.992670
9,43.022363,5.000000,10.000000,0.000000,3234.500000,0.993397
10,43.308212,11.000000,10.000000,1.000000,3289.500000,0.994859
11,43.320411,10.000000,12.000000,1.000000,3268.500000,0.992861
12,43.206102,4.000000,9.000000,0.000000,3277.500000,0.994387
13,42.839643,5.000000,9.000000,1.000000,3280.500000,0.994392
14,43.036889,17.000000,7.000000,0.000000,3258.000000,0.994809
15,43.561283,16.000000,9.000000,0.000000,3268.500000,0.993314
16,42.570766,4.000000,8.000000,1.000000,3211.000000,0.993502
17,43.344546,8.000000,10.000000,1.000000,3309.000000,0.992799
18,43.408195,8.000000,12.000000,1.000000,3334.000000,0.992853
19,42.993330,4.000000,10.000000,0.000000,3254.500000,0.994348
20,43.238820,13.000000,9.000000,1.000000,3281.500000,0.993792
21,43.400326,21.000000,11.000000,0.000000,3272.500000,0.994228
22,43.492209,8.000000,9.000000,0.000000,3290.500000,0.994409
23,43.072347,5.000000,9.000000,0.000000,3256.000000,0.994350
24,42.719138,10.000000,13.000000,1.000000,3261.000000,0.993904
25,43.641709,10.000000,6.000000,1.000000,3297.000000,0.992773
26,43.175019,4.000000,7.000000,1.000000,3242.000000,0.993108
27,43.377757,10.000000,13.000000,0.000000,3271.000000,0.994678
28,43.472698,7.000000,10.000000,0.000000,3323.000000,0.994761
29,43.359645,13.000000,7.000000,1.000000,3253.500000,0.992375
30,43.403586,16.000000,9.000000,1.000000,3227.000000,0.993687
